1,1.92,1.79,1.18,1.25,0.11,-0.21,-1.23,-0.16,0.34,0.3,-1.66
2,-0.81,-1.32,-0.69,-0.21,1.03,-1.25,0.2,0.03,-0.74,0.95,-0.82
3,0.29,-1.43,1.15,-1.12,1.26,-1.33,-1.77,1.03,-0.72,0.65,-1.12
4,0.23,0.4,0.02,0.82,-0.28,-0.13,-0.26,-1.69,0.96,-1.69,0.09
5,1.35,-0.6,-1.29,-0.2,-0.17,-0.85,-0.46,-0.24,2.01,0.76,1.05
6,0.74,1.1,1.04,0.02,1.29,0.12,0.2,2.98,-2.35,1.03,-0.17
7,-2.01,-1.76,-0.33,0.95,-0.83,1.12,-0.57,0.22,0.26,1.63,2.05
8,-1.38,-1.06,0.71,0.14,0.46,-1.8,-0.18,0.26,0.08,-0.15,0.47
9,-0.16,-2.39,1.81,-0.44,0.06,0.04,-1.2,1.78,-0.23,-0.79,1.41
10,0.18,-0.95,0.08,1.83,0.01,1.62,-1.1,0.48,-0.02,-0.36,-1.06
11,2.55,-0.39,2.47,0.9,0.15,0.62,0.72,0.52,-1.53,0.05,0.27
12,0.58,1.02,0.14,1.72,0.0,-1.91,-0.43,0.18,1.12,-2.49,0.16
13,-1.57,1.36,0.07,0.21,0.17,0.15,-0.78,-1.2,-0.26,0.54,-0.21
14,-0.34,1.57,-1.21,0.82,-0.09,0.95,0.42,-0.86,0.97,-0.66,-1.45
15,-1.07,0.92,0.03,-0.59,0.61,1.45,0.36,-0.47,-1.17,0.8,1.08
16,0.47,0.96,-0.26,-1.82,0.59,-0.69,-0.36,0.72,-0.11,0.9,0.17
17,-0.66,0.01,-0.73,1.15,0.6,-0.59,0.17,1.87,0.12,0.39,0.58
18,0.77,0.17,-0.27,-0.86,-0.73,-0.33,-0.19,-0.31,-1.43,-1.39,1.01
19,-0.15,-0.39,-0.95,0.61,0.96,-0.31,1.0,0.82,-0.18,1.4,-1.16
20,-0.67,-0.75,1.62,-0.51,1.3,1.31,0.22,1.47,-0.36,1.3,-0.0
21,0.25,-1.33,0.06,0.9,0.18,-0.14,-0.3,0.85,-0.83,-0.44,-0.34
22,-0.45,0.26,1.52,-0.82,0.37,0.19,-0.96,-1.28,-0.91,0.41,-0.2
23,1.15,-0.92,0.85,-0.16,0.03,-0.91,0.74,-2.26,-1.86,-1.08,-1.6
24,-1.73,-0.76,0.85,0.45,1.38,1.45,0.82,-1.17,0.62,-0.69,-0.55
25,0.52,-0.46,-0.9,-0.73,-0.15,-0.53,-1.68,-0.24,-0.83,0.66,1.55
26,0.45,-0.6,0.34,-0.91,-0.94,-0.44,0.32,0.86,0.22,-0.08,-0.93
27,0.17,1.03,-3.82,1.43,-2.6,-0.78,-0.56,0.68,0.8,-1.47,2.64
28,2.71,-0.07,-0.25,-0.63,0.91,-0.11,-0.91,-0.23,1.4,1.23,0.18
29,1.64,-2.04,0.16,-0.55,-0.21,1.02,-0.88,-0.92,-0.59,-1.14,-1.78
30,-0.46,-0.21,-0.69,-0.18,0.14,-0.78,1.02,-0.61,-0.79,1.07,-0.13
31,1.16,0.01,0.74,1.7,0.82,-0.5,1.21,0.18,-0.68,0.2,0.23
32,1.46,-1.25,1.06,-0.15,-0.87,0.36,0.91,1.63,1.35,-1.9,-1.41
33,-0.07,0.09,0.26,-0.03,0.96,2.35,-0.1,-1.28,-1.5,0.42,-1.86
34,0.63,1.8,0.12,-0.47,0.31,-0.64,0.99,-0.78,0.1,0.93,-0.88
